                                                     9 Jul 2020 11:53:19
Sensor-Camera


      Time (UTCG)          camera_integral (HMS)    camera_integral Rate
1 Jul 2020 11:09:10.000            -04:03:16.117               -5.000000
1 Jul 2020 11:09:20.000            -04:04:06.117               -5.000000
1 Jul 2020 11:09:30.000            -04:04:56.117               -5.000000
1 Jul 2020 11:09:40.000            -04:05:46.117               -5.000000
1 Jul 2020 11:09:50.000            -04:06:36.117               -5.000000
1 Jul 2020 11:10:00.000            -04:07:26.117               -5.000000
1 Jul 2020 11:10:10.000            -04:08:16.117               -5.000000
1 Jul 2020 11:10:20.000            -04:09:06.117               -5.000000
1 Jul 2020 11:10:30.000            -04:09:56.117               -5.000000
1 Jul 2020 11:10:40.000            -04:10:46.117               -5.000000
1 Jul 2020 11:10:50.000            -04:11:36.117               -5.000000
1 Jul 2020 11:11:00.000            -04:12:26.117               -5.000000
1 Jul 2020 11:11:10.000            -04:13:16.117               -5.000000
1 Jul 2020 11:11:20.000            -04:14:06.117               -5.000000
1 Jul 2020 11:11:30.000            -04:14:56.117               -5.000000
